霍乱由于O1群霍乱弧菌霍乱生物型所致	A00.000
白色角化症	K13.200x006
口腔黏膜红斑	K13.200x007
口腔黏膜黑斑	K13.200x008
口腔黏膜白色水肿	K13.200x009
颊鳞状上皮增生	K13.200x010
腭黏膜上皮增生	K13.200x011
腭黏膜角化不良	K13.201
腭白斑	K13.202
口腔白斑	K13.203
口腔黏膜过度角化	K13.204
舌白斑	K13.205
舌白色水肿	K13.206
舌良性过度角化症	K13.207
牙龈白斑	K13.208
颊白斑	K13.209
舌鳞状上皮增生	K13.210
毛状白斑	K13.300
口腔黏膜肉芽肿和类肉芽肿损害	K13.400
口腔黏膜结节病	K13.400x001
口腔黏膜浆细胞肉芽肿	K13.400x002
口腔黏膜化脓性肉芽肿	K13.400x004
口腔黏膜肉芽肿	K13.401
口腔黏膜嗜酸性肉芽肿	K13.402
口腔黏膜疣状黄瘤	K13.403
口腔黏膜下纤维化	K13.500
口腔黏膜刺激性增生	K13.600
口腔黏膜炎性增生	K13.600x001
口腔黏膜增生	K13.601
腭增生症	K13.602
腭黏膜息肉	K13.603
口腔黏膜其他的损害	K13.700
腭部瘢痕	K13.700x001
腭黏膜炎症	K13.700x003
后天性颊沟畸形	K13.700x004
口腔毛息肉	K13.700x006
颊炎症	K13.700x007
慢性颊黏膜下炎症	K13.700x009
口腔内血管增生	K13.700x010
口腔黏膜出血	K13.700x011
后天性软腭畸形	K13.700x013
翼沟过长	K13.700x018
软腭肥厚	K13.700x021
腭麻痹	K13.700x022
软腭麻痹	K13.700x023
软腭震颤	K13.700x024
金属引起的口腔黏膜病变	K13.700x025
颊息肉	K13.700x026
口腔肿物	K13.702
口腔瘢痕	K13.703
口腔黏蛋白沉积症	K13.704
口腔出血	K13.705
后天性小口畸形	K13.706
颊炎性假瘤	K13.707
腭咽闭合不全	K13.709
悬雍垂腭垂肥大	K13.710
悬雍垂腭垂息肉	K13.711
软腭肿瘤放疗后畸形	K13.714
下颌前庭沟过浅	K13.715
舌炎	K14.000
舌创伤性溃疡	K14.000x006
舌部嗜酸性溃疡	K14.000x007
舌脓肿	K14.001
舌炎性肿块	K14.002
舌溃疡	K14.003
舌乳突炎	K14.004
地图样舌	K14.100
移行性舌炎	K14.102
正中菱形舌炎	K14.200
舌乳头肥大	K14.300
舌苔	K14.300x003
叶状乳头肥大	K14.300x004
舌叶乳头增生	K14.301
黑毛舌	K14.302
舌乳头萎缩	K14.400
光面舌	K14.400x001
萎缩性舌炎	K14.401
裂沟舌	K14.500
裂纹舌	K14.500x001
沟纹舌	K14.500x002
舌痛	K14.600
舌痛症	K14.600x001
舌其他的疾病	K14.800
舌瘘管	K14.800x003
舌肌痉挛	K14.800x004
舌畸形	K14.800x005
舌牙痕	K14.800x010
舌息肉	K14.800x012
舌粘连	K14.800x013
舌肉芽肿	K14.801
舌出血	K14.802
舌肥大	K14.803
舌萎缩	K14.804
舌囊肿	K14.805
舌肌阵挛	K14.807
舌瘢痕	K14.808
舌尖瘘管	K14.809
舌的疾病	K14.900
强直舌	K14.900x002
舌的静脉曲张	K14.900x003
舌缺损	K14.900x004
舌肿物	K14.901
食管炎	K20.x00
贲门炎	K20.x00x001
创伤性食管炎	K20.x00x003
食管脓肿	K20.x00x006
化学性食管炎	K20.x01
放射性食管炎	K20.x02
手术后食管炎	K20.x03
胃食管反流性疾病伴有食管炎	K21.000
反流性食管炎	K21.001
胃食管反流性疾病不伴有食管炎	K21.900
食管反流	K21.901
贲门松弛	K21.902
喉咽反流	K21.903
贲门弛缓不能	K22.000
贲门痉挛	K22.000x001
贲门失弛缓	K22.000x002
食管溃疡	K22.100
贲门糜烂	K22.101
贲门溃疡	K22.102
食管糜烂	K22.103
食管梗阻	K22.200
贲门梗阻	K22.201
贲门狭窄	K22.202
食管受压	K22.203
食管挛缩	K22.204
食管狭窄	K22.205
胡桃夹食管	K22.206
创伤性食管狭窄	K22.207
手术后食管狭窄	K22.208
食管穿孔	K22.300
食管自发性破裂	K22.300x003
食管破裂	K22.301
食管运动障碍	K22.400
螺旋状食管	K22.400x003
食管痉挛	K22.401
后天性食管憩室	K22.500
胃食管撕裂出血综合征	K22.600
贲门撕裂症	K22.600x001
食管贲门黏膜撕裂综合征	K22.601
巴雷特食管	K22.700
食管其他特指的疾病	K22.800
食管肌性肥厚	K22.800x003
贲门息肉	K22.800x011
食管隆起性病变	K22.801
创伤后食管瘘	K22.802
食管白斑	K22.803
食管出血	K22.804
食管囊肿	K22.805
食管扩张	K22.806
食管息肉	K22.807
食管肠上皮化生	K22.808
食管黏膜剥脱症	K22.809
食管瘘	K22.811
食管黏膜不典型增生	K22.812
手术后食管瘘	K22.813
食管疾病	K22.900
食管功能不全	K22.900x001
食管肿物	K22.901
急性胃溃疡伴有出血	K25.000
胃黏膜下恒径动脉破裂出血	K25.000x001
急性胃黏膜病变伴出血	K25.000x002
迪厄拉富瓦溃疡	K25.001
急性胃溃疡伴有穿孔	K25.100
胃溃疡伴急性穿孔	K25.100x001
急性胃溃疡伴有出血和穿孔	K25.200
胃溃疡伴出血和急性穿孔	K25.200x001
急性胃溃疡不伴有出血和穿孔	K25.300
急性胃溃疡	K25.300x001
慢性胃溃疡伴有出血	K25.400
胃溃疡伴出血	K25.400x001
胃窦溃疡伴出血	K25.400x002
幽门溃疡伴出血	K25.401
慢性胃溃疡伴有穿孔	K25.500
胃溃疡伴穿孔	K25.500x001
幽门溃疡伴穿孔	K25.500x002
幽门穿孔	K25.501
慢性胃溃疡伴有出血和穿孔	K25.600
慢性胃溃疡不伴有出血或穿孔	K25.700
急性或慢性胃溃疡不伴有出血	K25.900
胃溃疡	K25.900x001
胃溃疡型假性淋巴瘤	K25.900x005
残胃溃疡	K25.901
胃小弯溃疡	K25.902
幽门管溃疡	K25.903
急性十二指肠溃疡伴有出血	K26.000
十二指肠溃疡伴急性出血	K26.000x001
急性十二指肠球部溃疡并出血	K26.001
急性十二指肠溃疡伴有穿孔	K26.100
急性十二指肠溃疡伴有出血和穿孔	K26.200
十二指肠溃疡伴出血和急性穿孔	K26.200x001
十二指肠球部溃疡伴出血和急性穿孔	K26.200x002
急性十二指肠溃疡不伴有出血和穿孔	K26.300
慢性十二指肠溃疡伴有出血	K26.400
十二指肠溃疡伴出血	K26.400x001
十二指肠糜烂出血	K26.400x003
十二指肠球部溃疡伴出血	K26.401
慢性十二指肠溃疡伴有穿孔	K26.500
十二指肠溃疡伴穿孔	K26.500x001
十二指肠球部溃疡伴穿孔	K26.501
慢性十二指肠溃疡伴有出血和穿孔	K26.600
慢性十二指肠溃疡不伴有出血或穿孔	K26.700
慢性十二指肠溃疡	K26.701
急性或慢性的十二指肠溃疡不伴有出血	K26.900
十二指肠溃疡	K26.900x001
十二指肠球部溃疡	K26.900x002
急性消化性溃疡伴有出血	K27.000
急性消化性溃疡伴有穿孔	K27.100
消化性溃疡伴急性穿孔	K27.100x001
急性消化性溃疡伴有出血和穿孔	K27.200
急性消化性溃疡不伴有出血和穿孔	K27.300
慢性消化性溃疡伴有出血	K27.400
多发性溃疡伴出血	K27.400x001
复合性溃疡伴出血	K27.400x002
消化性溃疡伴出血	K27.400x004
应激性溃疡伴出血	K27.401
慢性消化性溃疡伴有穿孔	K27.500
多发性溃疡伴穿孔	K27.500x001
复合性溃疡伴穿孔	K27.500x002
消化性溃疡伴穿孔	K27.501
应激性溃疡伴穿孔	K27.502
上消化道穿孔	K27.503
消化道穿孔	K27.504
慢性消化性溃疡伴有出血和穿孔	K27.600
复合性溃疡伴出血和穿孔	K27.600x001
慢性消化性溃疡不伴有出血或穿孔	K27.700
慢性消化性溃疡	K27.700x001
消化性溃疡不伴有出血	K27.900
多发性复合性溃疡	K27.900x001
复合性溃疡	K27.900x002
NSAIDs相关溃疡	K27.900x005
消化性溃疡	K27.901
应激性溃疡	K27.902
应激性胃溃疡	K27.904
急性胃空肠溃疡伴有出血	K28.000
急性胃空肠溃疡伴有穿孔	K28.100
急性胃空肠溃疡伴有出血和穿孔	K28.200
急性胃空肠溃疡不伴有出血和穿孔	K28.300
急性胃空肠溃疡	K28.300x001
慢性胃空肠溃疡伴有出血	K28.400
吻合口溃疡伴出血	K28.400x002
空肠溃疡伴出血	K28.401
慢性胃空肠溃疡伴有穿孔	K28.500
吻合口溃疡伴穿孔	K28.500x001
慢性胃空肠溃疡伴有出血和穿孔	K28.600
空肠溃疡伴出血和穿孔	K28.600x001
慢性胃空肠溃疡不伴有出血或穿孔	K28.700
急性或慢性胃空肠溃疡不伴有出血或穿孔	K28.900
吻合口溃疡	K28.900x001
吻合口溃疡伴梗阻	K28.900x002
空肠溃疡	K28.901
急性出血性胃炎	K29.000
急性糜烂出血性胃炎	K29.001
急性胃炎其他的	K29.100
急性胃炎	K29.100x001
急性糜烂性胃炎	K29.101
酒精性胃炎	K29.200
慢性浅表性胃炎	K29.300
慢性浅表性胃窦炎	K29.300x002
慢性浅表性疣状胃炎	K29.300x003
慢性萎缩性胃炎	K29.400
慢性胃炎	K29.500
慢性胃窦炎	K29.501
胃炎其他的	K29.600
反流性胃炎	K29.600x006
应激性胃炎	K29.600x007
变应性胃炎	K29.601
肥厚性胃炎	K29.602
糜烂性胃炎	K29.603
梅内特里耶病	K29.604
肉芽肿性胃炎	K29.605
胃黏膜肥厚	K29.606
疣状胃炎	K29.607
药物性胃炎	K29.608
胃炎	K29.700
胃炎性假瘤	K29.700x002
疣状胃胃窦炎	K29.700x003
残胃炎	K29.701
十二指肠炎	K29.800
十二指肠球炎	K29.801
十二指肠乳头炎	K29.802
胃十二指肠炎	K29.900
消化不良	K30.x00
肠消化不良	K30.x00x001
急性胃扩张	K31.000
成人肥厚性幽门狭窄	K31.100
幽门梗阻	K31.100x002
瘢痕性幽门梗阻	K31.101
幽门不全梗阻	K31.102
幽门肥大	K31.103
幽门狭窄	K31.104
胃沙漏状狭窄及缩窄	K31.200
幽门痉挛	K31.300
胃憩室	K31.400
十二指肠梗阻	K31.500
十二指肠受压	K31.500x002
十二指肠狭窄	K31.501
十二指肠淤积	K31.502
胃和十二指肠瘘	K31.600
胃小肠结肠瘘	K31.600x004
胃空肠结肠瘘	K31.601
胃结肠瘘	K31.602
胃腹壁瘘	K31.603
十二指肠瘘	K31.604
手术后食管胃瘘	K31.605
手术后胃瘘	K31.606
手术后胃小肠瘘	K31.607
手术后胃大肠瘘	K31.608
手术后十二指肠瘘	K31.609
胃和十二指肠息肉	K31.700
十二指肠息肉	K31.701
十二指肠球部息肉	K31.702
胃息肉	K31.703
胃和十二指肠其他特指的疾病	K31.800
低张力胃	K31.800x801
十二指肠白点征	K31.800x802
十二指肠穿孔	K31.800x806
胃假性淋巴瘤	K31.800x808
胃黏膜肠上皮化生	K31.801
高张力胃	K31.802
沙漏状胃痉挛	K31.803
胃酸过多	K31.804
胃酸缺乏	K31.805
胃狭窄	K31.806
胃痉挛	K31.807
胃结石	K31.808
胃麻痹	K31.809
胃囊肿	K31.810
胃下垂	K31.811
胃扭转	K31.812
胃破裂	K31.813
胃穿孔	K31.814
胃黄色斑	K31.815
胃黏膜脱垂	K31.816
十二指肠球变形	K31.818
胃潴留	K31.819
胃心综合征	K31.820
胃和十二指肠疾病	K31.900
胃排空障碍	K31.901
胃肿物	K31.902
十二指肠肿物	K31.903
急性胃黏膜病变	K31.904
胃黏膜病变	K31.905
急性阑尾炎伴有弥漫性腹膜炎	K35.000
阑尾破裂	K35.000x004
急性化脓性阑尾炎伴弥漫性腹膜炎	K35.000x006
急性坏疽性阑尾炎伴弥漫性腹膜炎	K35.000x007
急性阑尾炎穿孔伴弥漫性腹膜炎	K35.000x008
急性化脓性阑尾炎伴穿孔伴弥漫性腹膜炎	K35.000x009
急性坏疽性阑尾炎伴穿孔伴弥漫性腹膜炎	K35.000x010
急性化脓性阑尾炎伴穿孔伴局限性腹膜炎	K35.000x012
急性坏疽性阑尾炎伴穿孔伴局限性腹膜炎	K35.000x013
急性阑尾炎穿孔伴局限性腹膜炎	K35.001
急性阑尾炎伴穿孔	K35.002
急性化脓性阑尾炎伴穿孔	K35.003
急性坏疽性阑尾炎伴穿孔	K35.004
急性阑尾炎伴有腹膜脓肿	K35.100
急性阑尾炎伴腹腔脓肿	K35.100x004
阑尾脓肿	K35.101
回盲部脓肿	K35.102
阑尾周围脓肿	K35.103
急性化脓性阑尾炎伴周围脓肿	K35.104
急性阑尾炎	K35.900
急性化脓性阑尾炎伴腹膜炎	K35.900x005
急性坏疽性阑尾炎伴腹膜炎	K35.900x006
急性化脓性阑尾炎	K35.901
急性阑尾炎伴腹膜炎	K35.902
急性坏疽性阑尾炎	K35.903
急性阑尾炎伴局限性腹膜炎	K35.904
急性化脓性阑尾炎伴阑尾周围炎	K35.905
急性坏疽性阑尾炎伴阑尾周围炎	K35.906
慢性阑尾炎急性发作	K35.907
阑尾炎其他的	K36.x00
亚急性阑尾炎	K36.x00x003
阑尾残端炎	K36.x00x004
复发性阑尾炎	K36.x01
慢性阑尾炎	K36.x02
阑尾炎	K37.x00
阑尾周围炎	K37.x00x002
阑尾增生	K38.000
阑尾包块	K38.000x002
阑尾结石	K38.100
阑尾憩室	K38.200
阑尾瘘	K38.300
阑尾其他特指的疾病	K38.800
闭锁性阑尾	K38.800x001
阑尾套叠	K38.800x003
阑尾炎性假瘤	K38.800x004
阑尾黏液囊肿	K38.801
阑尾囊肿	K38.802
阑尾疾病	K38.900
双侧腹股沟疝伴有梗阻不伴有坏疽	K40.000
双侧腹股沟疝伴梗阻	K40.000x001
双侧腹股沟斜疝伴梗阻	K40.001
双侧腹股沟直疝伴梗阻	K40.002
双侧腹股沟疝伴有坏疽	K40.100
双侧腹股沟斜疝伴坏死	K40.101
双侧腹股沟直疝伴坏死	K40.102
双侧腹股沟疝不伴有梗阻或坏疽	K40.200
双侧腹股沟疝	K40.200x001
双侧腹股沟斜疝	K40.201
双侧腹股沟直疝	K40.202
双侧滑动性腹股沟斜疝	K40.203
双侧腹股沟疝一侧直疝一侧斜疝	K40.204
单侧或未特指的腹股沟疝伴有梗阻不伴有坏疽	K40.300
单侧绞窄性腹股沟斜疝	K40.301
单侧绞窄性腹股沟直疝	K40.302
单侧难复性腹股沟直疝	K40.303
单侧难复性腹股沟斜疝	K40.304
单侧嵌顿性腹股沟直疝	K40.305
单侧嵌顿性腹股沟斜疝	K40.306
单侧嵌顿性腹股沟疝伴梗阻	K40.307
单侧滑动性腹股沟疝伴梗阻	K40.308
腹股沟嵌顿性滑疝	K40.309
绞窄性腹股沟疝	K40.310
难复性腹股沟疝	K40.311
嵌顿性腹股沟疝	K40.312
嵌顿性腹股沟疝伴梗阻	K40.313
嵌顿性腹股沟斜疝	K40.314
腹股沟直疝嵌顿	K40.315
单侧腹股沟疝伴有坏疽	K40.400
单侧腹股沟斜疝伴坏疽	K40.401
单侧腹股沟直疝伴坏疽	K40.402
单侧或未特指的腹股沟疝不伴有梗阻或坏疽	K40.900
腹股沟环松弛	K40.900x001
单侧腹股沟疝	K40.900x002
单侧腹股沟斜疝	K40.900x003
单侧腹股沟直疝	K40.900x004
腹股沟斜疝合并直疝	K40.900x005
先天性腹股沟斜疝	K40.900x006
腹股沟斜疝	K40.901
腹股沟直疝	K40.902
腹股沟滑动疝	K40.903
复发性腹股沟斜疝	K40.904
复发性腹股沟直疝	K40.905
复发性腹股沟疝	K40.906
阴囊疝	K40.907
双侧股疝伴有梗阻不伴有坏疽	K41.000
双侧股疝伴有坏疽	K41.100
双侧股疝不伴有梗阻或坏疽	K41.200
双侧股疝	K41.200x001
单侧或未特指的股疝伴有梗阻不伴有坏疽	K41.300
绞窄性股疝	K41.301
嵌顿性股疝	K41.302
单侧股疝伴有坏疽	K41.400
单侧或未特指的股疝不伴有梗阻或坏疽	K41.900
股疝	K41.900x001
脐疝伴有梗阻不伴有坏疽	K42.000
脐疝伴梗阻	K42.000x001
嵌顿性脐疝	K42.001
脐疝伴有坏疽	K42.100
坏疽性脐疝	K42.100x001
脐疝不伴有梗阻或坏疽	K42.900
脐旁疝	K42.901
复发性脐疝	K42.902
腹疝伴有梗阻不伴有坏疽上腹的	K43.000
腹疝伴梗阻	K43.000x002
造瘘口旁疝	K43.000x004
腹壁嵌顿疝	K43.001
嵌顿性切口疝	K43.002
切口疝伴肠梗阻	K43.003
腹疝伴有坏疽上腹的	K43.100
坏疽性腹疝	K43.100x003
腹疝不伴有梗阻或坏疽上腹的	K43.900
腹白线疝	K43.900x001
腹壁切口疝	K43.901
腹壁疝	K43.902
复发性切口疝	K43.903
膈疝伴有梗阻不伴有坏疽	K44.000
膈疝伴梗阻	K44.000x001
绞窄性膈疝伴梗阻	K44.000x002
膈疝伴有坏疽	K44.100
坏疽性膈疝	K44.100x001
膈疝不伴有梗阻或坏疽	K44.900
膈疝	K44.900x001
食管裂孔疝	K44.901
腹疝伴有梗阻不伴有坏疽其他特指的	K45.000
绞窄性造口疝	K45.001
嵌顿性闭孔疝	K45.002
绞窄性腹疝伴肠梗阻	K45.003
腹疝伴有坏疽其他特指的	K45.100
腹疝不伴有梗阻或坏疽其他特指的	K45.800
坐骨大孔疝	K45.801
闭孔疝	K45.802
肠造口旁疝	K45.803
绞窄性闭孔疝	K45.804
库珀疝	K45.805
人工肛门处疝	K45.806
腰疝	K45.807
特赖茨窝上疝	K45.808
腹疝伴有梗阻不伴有坏疽	K46.000
腹内疝伴肠梗阻	K46.000x002
绞窄性小肠疝	K46.001
嵌顿性小肠疝	K46.002
腹疝伴有坏疽	K46.100
腹内疝伴坏疽	K46.100x001
小肠疝伴坏疽	K46.100x002
坏疽性小肠疝	K46.101
腹疝不伴有梗阻或坏疽	K46.900
腹内疝	K46.900x002
输入袢内疝	K46.900x003
肠系膜裂孔疝	K46.901
肠系膜内疝	K46.902
阑尾疝	K46.903
小肠疝	K46.905
小肠克罗恩病	K50.000
末端性回肠炎	K50.000x001
十二指肠克罗恩病	K50.000x005
空肠克罗恩病	K50.001
回肠克罗恩病	K50.002
大肠克罗恩病	K50.100
肉芽肿性结肠炎	K50.101
结肠克罗恩病	K50.102
直肠克罗恩病	K50.103
肉芽肿性盲肠炎	K50.104
克罗恩病其他的	K50.800
大肠和小肠克罗恩病	K50.800x001
食管克罗恩病	K50.801
克罗恩病	K50.900
克罗恩病性关节病	K50.902+M07.4*
溃疡性慢性全结肠炎	K51.000
溃疡性全结肠炎轻度	K51.001
溃疡性全结肠炎中度	K51.002
溃疡性全结肠炎重度	K51.003
溃疡性小肠结肠炎	K51.004
溃疡性回肠结肠炎	K51.005
慢性溃疡性直肠炎	K51.200
溃疡性直肠炎	K51.200x001
溃疡性直肠炎轻度	K51.201
溃疡性直肠炎中度	K51.202
溃疡性直肠炎重度	K51.203
慢性溃疡性直肠乙状结肠炎	K51.300
溃疡性直肠乙状结肠炎轻度	K51.301
溃疡性直肠乙状结肠炎中度	K51.302
溃疡性直肠乙状结肠炎重度	K51.303
炎性息肉	K51.400
结肠炎性息肉	K51.401
左侧结肠炎	K51.500
溃疡性结肠炎其他的	K51.800
溃疡性结肠炎伴出血	K51.800x001
溃疡性结肠炎	K51.900
溃疡性结肠炎轻度	K51.901
溃疡性结肠炎中度	K51.902
溃疡性结肠炎重度	K51.903
溃疡性结肠炎性关节病	K51.904+M07.5*
放射性胃肠炎和结肠炎	K52.000
放射性肠炎	K52.000x001
放射性结肠炎	K52.001
中毒性胃肠炎和结肠炎	K52.100
中毒性胃肠炎	K52.101
中毒性肠炎	K52.102
中毒性腹泻	K52.103
变应性及饮食性胃肠炎和结肠炎	K52.200
胃肠道过敏症	K52.200x004
过敏性腹泻	K52.201
过敏性结肠炎	K52.202
过敏性肠炎	K52.203
饮食性腹泻	K52.204
未定型结肠炎	K52.300
非感染性胃肠炎和结肠炎其他特指的	K52.800
药物性肠炎	K52.800x001
嗜酸细胞性小肠炎	K52.800x003
胶原性结肠炎	K52.801
淋巴细胞性结肠炎	K52.802
嗜酸性粒细胞性胃炎	K52.803
嗜酸粒细胞性胃肠炎	K52.804
非感染性胃肠炎和结肠炎	K52.900
非感染性胃肠炎	K52.901
非感染性腹泻	K52.902
回盲部炎症	K52.903
非感染性急性肠炎	K52.904
急性胃肠炎	K52.905
急性结肠炎	K52.906
慢性肠炎	K52.907
慢性腹泻	K52.908
慢性胃肠炎	K52.909
慢性结肠炎	K52.910
盲肠炎	K52.911
乙状结肠炎	K52.912
肠病性关节炎	K52.913+M07.6*
肠炎性包块	K52.914
肠炎	K52.915
腹泻	K52.916
小儿肠炎	K52.917
婴儿肠炎	K52.918
幼儿腹泻	K52.919
肠急性血管疾患	K55.000
缺血性结肠炎	K55.000x005
肠系膜上静脉血栓形成	K55.000x010
肠缺血梗死	K55.000x011
肠系膜静脉瘤栓	K55.000x015
急性肠血管梗死	K55.001
急性缺血性肠坏死	K55.002
出血性肠梗死	K55.003
肠坏死	K55.004
肠系膜坏疽	K55.005
肠系膜动脉栓塞	K55.006
肠系膜静脉血栓形成伴肠坏死	K55.007
肠系膜动脉血栓形成	K55.008
肠系膜动脉栓塞伴肠坏死	K55.009
肠系膜静脉血栓形成	K55.010
肠系膜静脉栓塞	K55.011
肠系膜梗死	K55.012
大网膜坏死	K55.013
肠慢性血管疾患	K55.100
肠道慢性缺血性综合征	K55.100x001
慢性肠道血管功能不全	K55.100x005
慢性缺血性结肠炎	K55.100x006
慢性缺血性结肠小肠炎	K55.100x008
肠系膜动脉狭窄	K55.101
肠系膜上动脉狭窄	K55.102
肠系膜动脉硬化	K55.103
肠系膜动脉供血不足	K55.104
肠系膜上动脉压迫综合征	K55.105
慢性缺血性小肠炎	K55.106
结肠血管发育不良	K55.200
肠血管畸形	K55.200x011
肠血管扩张	K55.200x012
肠血管增生	K55.200x013
结肠血管扩张症	K55.201
肠血管疾患其他的	K55.800
十二指肠动脉破裂	K55.800x003
十二指肠动脉压迫综合征	K55.800x004
肠系膜动脉炎	K55.801
小肠毛细血管扩张	K55.802
肠血管疾患	K55.900
局限性缺血性肠病	K55.900x001
缺血性肠炎	K55.900x002
十二指肠憩室梗阻性黄疸综合征Lemmel综合征	K55.900x003
缺血性肠病伴出血	K55.900x004
缺血性小肠炎	K55.901
缺血性肠病	K55.902
麻痹性肠梗阻	K56.000
肠麻痹	K56.000x001
神经源性肠梗阻	K56.001
肠套叠	K56.100
结肠套叠	K56.101
直肠套叠	K56.102
肠扭转	K56.200
肠系膜扭转	K56.200x003
绞窄性肠梗阻	K56.201
肠绞窄	K56.202
结肠扭转	K56.203
胆石性肠梗阻	K56.300
肠的其他嵌塞	K56.400
粪便嵌塞	K56.400x001
肠嵌塞	K56.400x003
肠结石	K56.401
肠粘连带伴有梗阻	K56.500
粘连性肠梗阻	K56.500x003
腹膜粘连伴肠梗阻	K56.501
肠梗阻伴粘连	K56.502
肠粘连性狭窄	K56.503
肠梗阻其他和未特指的	K56.600
肠绞窄坏死	K56.600x001
肠狭窄坏死	K56.600x004
痉挛性肠梗阻假性肠梗阻	K56.600x005
肠狭窄	K56.601
乙状结肠狭窄	K56.602
肠梗阻伴坏死	K56.603
机械性肠梗阻	K56.604
肠梗阻	K56.700
完全性肠梗阻	K56.700x003
不完全性肠梗阻	K56.701
结肠梗阻	K56.702
小肠憩室病伴有穿孔和脓肿	K57.000
小肠憩室伴脓肿	K57.001
小肠憩室病伴腹膜炎	K57.002
十二指肠憩室伴穿孔	K57.003
小肠憩室病不伴有穿孔或脓肿	K57.100
小肠憩室	K57.100x005
十二指肠憩室梗阻性黄疸综合征	K57.101
回盲部憩室	K57.102
空肠憩室	K57.103
十二指肠憩室	K57.104
回肠憩室	K57.105
小肠憩室炎	K57.106
空肠憩室炎	K57.107
十二指肠憩室炎	K57.108
大肠憩室病伴有穿孔和脓肿	K57.200
大肠憩室伴穿孔	K57.200x001
大肠憩室病伴有脓肿	K57.201
结肠憩室伴腹膜炎	K57.202
大肠憩室病不伴有穿孔或脓肿	K57.300
盲肠憩室	K57.301
直肠憩室	K57.302
结肠憩室	K57.303
结肠憩室炎	K57.304
盲肠憩室炎	K57.305
小肠和大肠憩室病伴有穿孔和脓肿	K57.400
小肠和大肠憩室病伴腹膜炎	K57.401
小肠和大肠憩室病不伴有穿孔或脓肿	K57.500
肠憩室病伴有穿孔和脓肿	K57.800
肠憩室病伴腹膜炎	K57.801
肠憩室病不伴有穿孔或脓肿	K57.900
肠易激综合征伴有腹泻	K58.000
肠易激综合征不伴有腹泻	K58.900
肠痉挛	K58.901
过敏性结肠	K58.902
便秘	K59.000
粪便潴留	K59.002
功能性腹泻	K59.100
肠道菌群失调	K59.101
神经源性肠	K59.200
神经源性直肠	K59.200x002
神经源性肠道功能障碍	K59.200x003
巨结肠	K59.300
结肠扩张	K59.301
后天性巨结肠	K59.302
中毒性巨结肠	K59.303
肛门痉挛	K59.400
痉挛性肛部痛	K59.400x002
盆底肌痉挛综合征	K59.401
功能性肠疾患其他特指的	K59.800
肠扩张	K59.800x002
结肠松弛	K59.800x005
脾曲综合征	K59.801
功能性肠疾患	K59.900
肠功能紊乱	K59.900x001
结肠功能紊乱	K59.900x002
急性肛裂	K60.000
慢性肛裂	K60.100
肛裂	K60.200
肛瘘	K60.300
高位肛瘘	K60.301
低位肛瘘	K60.302
复杂性肛瘘	K60.303
直肠瘘	K60.400
肛门会阴瘘	K60.400x003
直肠会阴瘘	K60.401
直肠皮肤瘘	K60.402
直肠阴囊皮肤瘘	K60.403
肛门直肠瘘	K60.500
肛门脓肿	K61.000
肛周脓肿	K61.001
肛门蜂窝织炎	K61.002
直肠脓肿	K61.100
直肠周围脓肿	K61.101
肛门直肠脓肿	K61.200
坐骨直肠窝脓肿	K61.300
括约肌内脓肿	K61.400
肛门息肉	K62.000
肛管息肉	K62.001
直肠息肉	K62.100
直肠息肉伴出血	K62.100x002
脱肛	K62.200
肛管脱垂	K62.201
肛门括约肌脱垂	K62.202
直肠脱垂	K62.300
直肠黏膜松弛	K62.300x003
直肠黏膜脱垂	K62.301
肛门和直肠狭窄	K62.400
直肠狭窄	K62.400x002
肛门括约肌失缓症	K62.400x003
肛门闭锁	K62.400x004
肛门狭窄	K62.401
直肠梗阻	K62.402
肛门和直肠出血	K62.500
肛门出血	K62.501
肛门和直肠溃疡	K62.600
直肠溃疡	K62.600x002
肛管溃疡	K62.601
肛门周围溃疡	K62.602
放射性直肠炎	K62.700
肛门和直肠其他特指的疾病	K62.800
出血性直肠炎	K62.800x001
慢性直肠炎	K62.800x009
直肠前突	K62.800x012
耻骨直肠肌肥厚症	K62.800x017
肛窦炎	K62.801
肛管炎	K62.802
巨直肠	K62.803
直肠吻合口瘢痕	K62.804
直肠不典型增生	K62.805
直肠纤维钙化	K62.806
直肠吻合口炎	K62.807
直肠肉芽肿	K62.808
直肠瘢痕	K62.809
直肠囊肿	K62.810
直肠炎	K62.811
直肠痛	K62.812
肛门括约肌松弛	K62.813
肛管炎性肿物	K62.814
肛周炎	K62.815
肛乳头肥大	K62.816
肛门白斑	K62.817
肛管囊肿	K62.818
肛门囊肿	K62.819
肛门痛	K62.820
肛门炎	K62.821
慢性肛管直肠炎	K62.822
肛门和直肠的疾病	K62.900
肛旁肿物	K62.901
肛管肿物	K62.902
直肠肿物	K62.903
肠脓肿	K63.000
小肠脓肿	K63.001
肠穿孔非创伤性	K63.100
空肠穿孔	K63.101
回肠穿孔	K63.102
结肠穿孔	K63.103
回盲部溃疡伴穿孔	K63.104
乙状结肠穿孔	K63.105
直肠穿孔	K63.106
肠破裂	K63.107
小肠穿孔	K63.108
肠瘘	K63.200
盲管瘘	K63.200x003
盆腔腹壁瘘	K63.200x008
腹壁肠瘘	K63.201
腹壁盲肠瘘	K63.202
腹壁窦道	K63.203
结肠瘘	K63.204
手术后结肠瘘	K63.205
手术后盲肠瘘	K63.206
