链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
与儿童据说身体被虐待有关的问题	Z61.600x001	{"dummy_term": ["与", "据说", "被", "虐待", "有关", "的", "问题"], "5_others_term": ["儿童", "身体"]}
蛇舌状虫病	B88.800x002	{"dummy_term": ["蛇", "舌状", "虫", "病"]}
腭交界性肿瘤	D37.000x014	{"1_region_term": ["腭"], "dummy_term": ["交界", "性", "肿瘤"]}
丙型肝炎肝硬化	K74.600x002	{"dummy_term": ["丙型肝炎", "肝硬化"]}
盘状半月板先天性	M23.100	{"1_region_term": ["半月板"], "dummy_term": ["盘", "状", "先天性"]}
皮肤囊尾蚴病	B69.805	{"1_region_term": ["皮肤"], "dummy_term": ["囊尾蚴", "病"]}
红皮病性银屑病	L40.802	{"dummy_term": ["红皮", "病", "性", "银屑病"]}
氨氯地平中毒	T48.602	{"dummy_term": ["氨氯地平", "中毒"]}
结肠错构瘤	Q85.900x055	{"1_region_term": ["结肠"], "dummy_term": ["错构瘤"]}
颈前纵韧带骨化	M48.800x022	{"1_region_term": ["颈", "韧带"], "dummy_term": ["前", "纵", "骨化"]}
水痘并发肾炎	B01.800x002+N08.0*	{"dummy_term": ["水痘", "并发", "肾炎"]}
羊痘	B08.800x005	{"dummy_term": ["羊痘"]}
跟腓韧带损伤	S93.400x022	{"1_region_term": ["韧带"], "dummy_term": ["跟", "腓"], "3_disease_term": ["损伤"]}
癫痫全面性发作强直阵挛性发作	G40.300x023	{"dummy_term": ["癫痫", "发作", "强直", "阵挛性", "发作"], "5_others_term": ["全面性"]}
多部位的局部肿胀肿物和肿块	R22.700	{"dummy_term": ["多", "部位", "的", "局部", "肿胀", "肿物", "和", "肿块"]}
开放性跟骨骨折	S92.010	{"1_region_term": ["跟骨"], "3_disease_term": ["开放性", "骨折"]}
硬膜外恶性肿瘤	C72.901	{"dummy_term": ["硬膜外", "恶性肿瘤"]}
脊髓肿瘤	D43.401	{"1_region_term": ["脊髓"], "dummy_term": ["肿瘤"]}
沙粒病毒性出血热	A96.900	{"dummy_term": ["沙粒", "病毒性", "出血热"]}
下背血管损伤	S35.901	{"1_region_term": ["血管"], "dummy_term": ["下", "背"], "3_disease_term": ["损伤"]}
传染性病原体引起的肺炎其他特指的	J16.800	{"dummy_term": ["传染性", "病原体", "引起", "的", "肺炎", "其他", "特指", "的"]}
肺血肿	S27.300x012	{"1_region_term": ["肺"], "3_disease_term": ["血肿"]}
完全性偏瘫	G81.900x004	{"dummy_term": ["偏瘫"], "5_others_term": ["完全性"]}
孤立性纤维性瘤	M88150/0	{"dummy_term": ["孤立", "性", "纤维", "性"], "3_disease_term": ["瘤"]}
手术后拆除缝线	Z48.000x001	{"dummy_term": ["拆除"], "5_others_term": ["手术后", "缝线"]}
生殖器官血管瘤	D18.008	{"dummy_term": ["生殖器官", "血管瘤"]}
眼球痨	H44.503	{"1_region_term": ["眼球"], "dummy_term": ["痨"]}
喂养困难和照管不当	R63.300	{"dummy_term": ["喂养", "困难", "和", "照管", "不当"]}
醇诱发的假库欣综合征	E24.400	{"dummy_term": ["醇", "诱发", "的", "假", "库", "欣", "综合征"]}
医源性甲状腺功能亢进症	E05.400x001	{"1_region_term": ["甲状腺"], "dummy_term": ["医源性", "功能", "亢进症"]}
妊娠合并抗磷脂抗体综合征	O99.109	{"dummy_term": ["妊娠", "合", "并", "抗", "磷脂", "抗体", "综合征"]}
顽固性贫血伴有胚细胞过多	D46.200	{"dummy_term": ["顽固性", "贫血", "伴有", "胚", "细胞", "过", "多"]}
直肠内异物	T18.502	{"1_region_term": ["直肠内"], "5_others_term": ["异物"]}
食管挛缩	K22.204	{"1_region_term": ["食管", "挛缩"]}
胸内淋巴结结核细菌学阳性	A15.404	{"1_region_term": ["淋巴结"], "dummy_term": ["胸内", "结核", "细菌学", "阳性"]}
汞及其化合物的毒性效应	T56.100	{"dummy_term": ["汞", "及其", "化合物", "的", "毒性", "效应"]}
操作后窦道	T81.800x001	{"dummy_term": ["后"], "5_others_term": ["操作"], "3_disease_term": ["窦道"]}
血清病样反应	T80.602	{"dummy_term": ["血清病", "样", "反应"]}
硝基化合物中毒	T65.300x004	{"dummy_term": ["硝基", "化合物", "中毒"]}
低密度脂蛋白型高脂蛋白血症	E78.000x006	{"dummy_term": ["低密度", "脂蛋白", "型", "高", "脂蛋白", "血症"]}
髂动脉支架内再狭窄	I77.128	{"1_region_term": ["髂动脉"], "dummy_term": ["内", "再"], "4_implant_term": ["支架"], "3_disease_term": ["狭窄"]}
被熟人或朋友忽视照料和遗弃	Y06.200	{"dummy_term": ["被", "熟人", "或", "朋友", "忽视", "照料", "和", "遗弃"]}
家族性醛固酮增多症	E26.801	{"dummy_term": ["家族", "性", "醛固酮", "增多", "症"]}
婴幼儿和童年异食癖	F98.300	{"dummy_term": ["婴幼儿", "和", "童年", "异", "食", "癖"]}
全垂体功能减退症	E23.003	{"1_region_term": ["垂体"], "dummy_term": ["全", "功能", "减退症"]}
冲动型人格障碍	F60.301	{"dummy_term": ["冲动型", "人格障碍"]}
腕和手多处浅表损伤	S60.700	{"1_region_term": ["腕", "手"], "dummy_term": ["和", "多处", "浅表"], "3_disease_term": ["损伤"]}
眼占位性病变	R93.800x008	{"1_region_term": ["眼"], "dummy_term": ["占位", "性病变"]}
葡萄球菌性踝关节炎	M00.006	{"1_region_term": ["踝关节"], "dummy_term": ["葡萄球菌", "性", "炎"]}
升结肠肿瘤	D37.403	{"1_region_term": ["升结肠"], "dummy_term": ["肿瘤"]}
卵巢破裂	N83.805	{"1_region_term": ["卵巢"], "3_disease_term": ["破裂"]}
小肠血管瘤	D18.000x046	{"1_region_term": ["小肠"], "dummy_term": ["血管瘤"]}
急性膀胱炎	N30.000	{"dummy_term": ["急性", "膀胱炎"]}
骶神经良性肿瘤	D36.100x053	{"1_region_term": ["骶神经"], "dummy_term": ["良性肿瘤"]}
面部继发恶性肿瘤	C79.800x833	{"1_region_term": ["面部"], "dummy_term": ["继发", "恶性肿瘤"]}
颈动脉血栓形成脑梗死	I63.002	{"1_region_term": ["颈动脉"], "dummy_term": ["形成", "脑梗死"], "3_disease_term": ["血栓"]}
单侧嵌顿性腹股沟斜疝	K40.306	{"1_region_term": ["腹股沟"], "dummy_term": ["嵌", "顿", "性"], "5_others_term": ["单侧"], "3_disease_term": ["斜疝"]}
卵巢早衰	E28.301	{"1_region_term": ["卵巢"], "dummy_term": ["早衰"]}
家族性息肉病	D12.601	{"dummy_term": ["家族", "性", "病"], "3_disease_term": ["息肉"]}
肠系膜囊肿	K66.802	{"1_region_term": ["肠系膜"], "3_disease_term": ["囊肿"]}
结肠和直肠恶性肿瘤	C19.x01	{"1_region_term": ["结肠", "直肠"], "dummy_term": ["和", "恶性肿瘤"]}
腹疝伴梗阻	K43.000x002	{"1_region_term": ["腹"], "dummy_term": ["伴"], "3_disease_term": ["疝", "梗阻"]}
交通事故后接受的检查和观察	Z04.100	{"dummy_term": ["交通事故", "后", "接受", "的", "检查和", "观察"]}
胰腺功能不全并中性粒细胞减少综合征ShwachmanDiamond综合征	K86.800x015	{"1_region_term": ["胰腺"], "dummy_term": ["功能", "不", "全", "并", "粒细胞", "减少", "综合征", "ShwachmanDiamond", "综合征"], "5_others_term": ["中性"]}
食管结核	A18.800x014+K23.0*	{"1_region_term": ["食管"], "dummy_term": ["结核"]}
过敏性鼻炎变应性鼻炎	J30.400x001	{"dummy_term": ["过敏性", "鼻炎", "变应性", "鼻炎"]}
1型糖尿病性大疱症	E10.600x021	{"dummy_term": ["1", "型", "糖尿病", "性", "疱", "症"], "5_others_term": ["大"]}
前臂神经损伤	S54.900x001	{"1_region_term": ["前臂", "神经"], "3_disease_term": ["损伤"]}
炎性肌纤维母细胞瘤	M88250/1	{"dummy_term": ["炎", "性", "肌纤维", "母细胞"], "3_disease_term": ["瘤"]}
锌缺乏	E60.x00x001	{"dummy_term": ["锌", "缺乏"]}
妊娠合并疱疹病毒感染	O98.807	{"dummy_term": ["妊娠", "合", "并", "疱疹病毒", "感染"]}
结合膜良性肿瘤	D31.000	{"dummy_term": ["结合膜", "良性肿瘤"]}
先天性三尖瓣关闭不全	Q22.801	{"1_region_term": ["三尖瓣"], "dummy_term": ["先天性", "关闭不全"]}
细菌性结肠炎	A04.901	{"dummy_term": ["细菌性", "结肠炎"]}
外分泌汗腺疾患	L74.900	{"dummy_term": ["外分泌", "汗腺", "疾患"]}
肠坏死	K55.004	{"1_region_term": ["肠"], "dummy_term": ["坏死"]}
妊娠期前庭大腺脓肿	O23.500x009	{"1_region_term": ["前庭大腺"], "dummy_term": ["妊娠期"], "3_disease_term": ["脓肿"]}
幽门肥大	K31.103	{"1_region_term": ["幽门"], "dummy_term": ["肥大"]}
肘关节骨折	S52.000x001	{"1_region_term": ["肘关节"], "3_disease_term": ["骨折"]}
慢性截瘫	G82.200x021	{"dummy_term": ["慢性", "截瘫"]}
头部其他和未特指部位关节和韧带扭伤和劳损	S03.500	{"1_region_term": ["头部", "关节", "韧带"], "dummy_term": ["其他", "和", "未", "特指", "部位", "和", "扭伤", "和", "劳损"]}
在前臂水平的桡动脉损伤	S55.100	{"1_region_term": ["前臂", "桡动脉"], "dummy_term": ["在", "水平", "的"], "3_disease_term": ["损伤"]}
黏液水肿引起的主要影响中枢神经系统的全身性萎缩	G13.2*	{"1_region_term": ["全身性"], "dummy_term": ["黏液", "引起", "的", "主要", "影响", "中枢神经", "系统", "的"], "3_disease_term": ["水肿", "萎缩"]}
角膜穿通伤伴虹膜脱垂	S05.202	{"1_region_term": ["角膜", "虹膜"], "dummy_term": ["穿通", "伤", "伴"], "3_disease_term": ["脱垂"]}
皮疹和其他非特异性斑疹	R21.x00	{"dummy_term": ["皮疹", "和", "其他", "非", "特异性", "斑疹"]}
头皮擦伤	S00.002	{"1_region_term": ["头皮"], "dummy_term": ["擦伤"]}
尿道口炎	N34.202	{"1_region_term": ["尿道口"], "dummy_term": ["炎"]}
腭垂囊肿	K09.106	{"1_region_term": ["腭垂"], "3_disease_term": ["囊肿"]}
趾间关节脱位	S93.100x021	{"1_region_term": ["趾", "关节"], "dummy_term": ["间"], "3_disease_term": ["脱位"]}
脾脓肿	D73.300	{"1_region_term": ["脾"], "3_disease_term": ["脓肿"]}
小叶中心性肺气肿	J43.200	{"dummy_term": ["小叶", "中心", "性", "肺气肿"]}
局限性神经性皮炎	L28.001	{"1_region_term": ["神经性"], "dummy_term": ["皮炎"], "5_others_term": ["局限性"]}
胁腹浅表损伤	S30.800x004	{"dummy_term": ["胁腹", "浅表"], "3_disease_term": ["损伤"]}
精索继发恶性肿瘤	C79.800x231	{"1_region_term": ["精索"], "dummy_term": ["继发", "恶性肿瘤"]}
良性乳腺发育不良	N60.900	{"1_region_term": ["乳腺"], "dummy_term": ["良性", "发育不良"]}
局限性结缔组织疾患	L94.900	{"dummy_term": ["结缔组织", "疾患"], "5_others_term": ["局限性"]}
肠系膜静脉损伤	S35.300x005	{"1_region_term": ["肠系膜静脉"], "3_disease_term": ["损伤"]}
镶嵌疣	B07.x00x008	{"dummy_term": ["镶嵌", "疣"]}
胰性脑病	G93.800x007	{"1_region_term": ["胰"], "dummy_term": ["性", "脑病"]}
阿米巴病带菌者	Z22.101	{"dummy_term": ["阿米巴病", "带菌者"]}
人类免疫缺陷病毒HIV病造成的消瘦综合征	B22.200	{"dummy_term": ["人类", "免疫", "缺陷", "病毒", "HIV", "病", "造成", "的", "消瘦", "综合征"]}
输尿管支架移位	T83.102	{"4_implant_term": ["输尿管支架"], "3_disease_term": ["移位"]}
生长激素缺乏症	E23.009	{"dummy_term": ["生长激素", "缺乏症"]}
真菌病引起的肺炎	J17.2*	{"dummy_term": ["真菌病", "引起", "的", "肺炎"]}
血管免疫母细胞淋巴结病	D47.702	{"1_region_term": ["血管", "淋巴结"], "dummy_term": ["免疫", "母细胞", "病"]}
慢性酒精中毒	F10.201	{"dummy_term": ["慢性"], "5_others_term": ["酒精中毒"]}
先天性低脊髓畸形	Q04.800x002	{"1_region_term": ["脊髓"], "dummy_term": ["先天性", "低"], "3_disease_term": ["畸形"]}
腐蚀性酸和酸样物质的毒性效应	T54.200	{"dummy_term": ["腐蚀性", "酸", "和", "酸", "样", "物质", "的", "毒性", "效应"]}
颈椎脱位	S13.100	{"1_region_term": ["颈椎"], "3_disease_term": ["脱位"]}
甲状旁腺功能减退症其他的	E20.800	{"1_region_term": ["甲状旁腺"], "dummy_term": ["功能", "减退症", "其他", "的"]}
1型糖尿病性脑神经麻痹	E10.400x130+G59.0*	{"1_region_term": ["脑神经"], "dummy_term": ["1", "型", "糖尿病", "性", "麻痹"]}
瘙痒症其他的	L29.800	{"dummy_term": ["瘙痒症", "其他", "的"]}
星状角膜炎	H16.100x005	{"dummy_term": ["星状", "角膜炎"]}
胆固醇综合征	E78.000x007	{"dummy_term": ["胆固醇", "综合征"]}
骶前结缔组织良性肿瘤	D21.500x002	{"1_region_term": ["骶前"], "dummy_term": ["结缔组织", "良性肿瘤"]}
颈动脉弯管和杈的蛛网膜下出血	I60.000	{"1_region_term": ["颈动脉", "蛛网膜"], "dummy_term": ["弯管", "和", "杈", "的", "下", "出", "血"]}
硬化性肾炎	N18.900x004	{"dummy_term": ["硬化性", "肾炎"]}
头部腐蚀伤后遗症	T95.000x011	{"1_region_term": ["头部"], "dummy_term": ["腐蚀", "伤", "后遗症"]}
前臂多处骨折	S52.700	{"1_region_term": ["前臂"], "dummy_term": ["多处"], "3_disease_term": ["骨折"]}
血管中心性免疫增生性病变恶性	C88.701	{"1_region_term": ["血管"], "dummy_term": ["中心", "性", "免疫", "增生", "性病变", "恶性"]}
恶性肥大细胞增多症	C96.201	{"dummy_term": ["恶性", "肥大细胞", "增多", "症"]}
局灶性小脑挫伤伴血肿	S06.300x041	{"1_region_term": ["小脑"], "dummy_term": ["局", "灶", "性", "挫伤", "伴"], "3_disease_term": ["血肿"]}
上颌骨假体露出	T84.301	{"1_region_term": ["上颌骨"], "dummy_term": ["露出"], "4_implant_term": ["假体"]}
急性子宫旁组织炎和盆腔蜂窝织炎	N73.000	{"1_region_term": ["盆腔"], "dummy_term": ["急性子", "宫", "旁", "炎", "和", "蜂窝", "织", "炎"], "5_others_term": ["组织"]}
陶宾综合征	Q20.101	{"dummy_term": ["陶", "宾", "综合征"]}
肩关节肿胀	M25.402	{"1_region_term": ["肩关节"], "dummy_term": ["肿胀"]}
十二指肠梗阻	K31.500	{"1_region_term": ["十二指肠"], "3_disease_term": ["梗阻"]}
躯干一度烧伤	T21.100	{"1_region_term": ["躯干"], "dummy_term": ["一度", "烧伤"]}
顶浆分泌汗腺疾患其他的	L75.800	{"dummy_term": ["顶", "浆", "分泌", "汗腺", "疾患", "其他", "的"]}
胰胆管扩张	K86.800x002	{"1_region_term": ["胰胆管"], "3_disease_term": ["扩张"]}
急进型肾炎综合征伴有弥漫性肾小球系膜毛细血管性肾小球肾炎	N01.500	{"dummy_term": ["急进", "型", "肾炎", "综合征", "伴有", "弥漫性", "肾小球", "系", "膜", "毛细血管", "性", "肾小球", "肾炎"]}
慢性消化性溃疡	K27.700x001	{"dummy_term": ["慢性", "消化性", "溃疡"]}
继发性三叉神经痛	G50.004	{"dummy_term": ["继发性", "三叉神经痛"]}
手术后睾丸功能减退	E89.501	{"1_region_term": ["睾丸"], "dummy_term": ["功能", "减退"], "5_others_term": ["手术后"]}
抗肿瘤性抗代谢物药的有害效应	Y43.100	{"dummy_term": ["性", "抗", "代谢物", "药", "的", "有害", "效应"], "5_others_term": ["抗肿瘤"]}
软组织感染	L08.900x021	{"1_region_term": ["软组织"], "dummy_term": ["感染"]}
晶状体脱位	H27.100	{"dummy_term": ["晶状体"], "3_disease_term": ["脱位"]}
性关系障碍	F66.200	{"dummy_term": ["性关系", "障碍"]}
螨虫病	B88.000x002	{"dummy_term": ["螨虫", "病"]}
外阴肿脓	N76.400	{"1_region_term": ["外阴"], "dummy_term": ["肿", "脓"]}
新生儿乳房肿胀	P83.400	{"1_region_term": ["乳房"], "dummy_term": ["新生儿", "肿胀"]}
颈外动脉瘤	I72.000x031	{"1_region_term": ["颈外动脉"], "3_disease_term": ["瘤"]}
利血平中毒	T46.500x004	{"dummy_term": ["利血平", "中毒"]}
椎管不全脱位性狭窄	M99.200	{"1_region_term": ["椎管"], "dummy_term": ["不", "全", "性"], "3_disease_term": ["脱位", "狭窄"]}
下尺桡关节脱位	S63.000x011	{"1_region_term": ["下尺桡关节"], "3_disease_term": ["脱位"]}
手术后胆道感染	T81.404	{"1_region_term": ["胆道"], "dummy_term": ["感染"], "5_others_term": ["手术后"]}
不伴有精神分裂症症状的急性精神病性障碍	F23.000x001	{"dummy_term": ["不", "伴有", "精神分裂症", "症状", "的", "急性", "精神病", "性障碍"]}
缺血性视网膜病变	H35.000x017	{"1_region_term": ["视网膜"], "dummy_term": ["缺血性"], "3_disease_term": ["病变"]}
海绵窦血栓性静脉炎	G08.x00x007	{"1_region_term": ["海绵窦"], "dummy_term": ["静脉炎"], "3_disease_term": ["血栓性"]}
正常妊娠的监督其他的	Z34.800	{"dummy_term": ["正常", "妊娠", "的", "监督", "其他", "的"]}
距骨骨坏死	M87.900x071	{"1_region_term": ["距骨"], "dummy_term": ["骨坏死"]}
接触性荨麻疹	L50.600	{"dummy_term": ["接触性", "荨麻疹"]}
射频消融术后动静脉瘘	T81.700x205	{"1_region_term": ["动静脉瘘"], "dummy_term": ["后"], "2_operation_term": ["射频消融术"]}
麻醉品过敏个人史	Z88.500	{"dummy_term": ["麻醉品", "过敏", "个人", "史"]}
空洞型肺结核经证实阳性	A15.307	{"dummy_term": ["空洞", "型", "肺结核", "经", "证实", "阳性"]}
肩胛下肌肌腱损伤	S46.800x007	{"1_region_term": ["肌", "肌腱"], "dummy_term": ["肩胛", "下"], "3_disease_term": ["损伤"]}
后天性足母外翻	M20.100x002	{"1_region_term": ["足母"], "dummy_term": ["后天性"], "3_disease_term": ["外翻"]}
股骨外髁骨折	S72.400x013	{"1_region_term": ["股骨外"], "dummy_term": ["髁"], "3_disease_term": ["骨折"]}
慢性恰加斯病伴脑炎	B57.400x002+G05.2*	{"dummy_term": ["慢性", "恰", "加斯", "病", "伴", "脑炎"]}
双相情感障碍目前为伴有躯体症状的中度抑郁发作	F31.300x012	{"dummy_term": ["双相", "情感", "障碍", "目前", "为", "伴有", "躯体", "症状", "的", "中度", "抑郁", "发作"]}
烟火发射	W39.x00	{"dummy_term": ["烟火", "发射"]}
慢性迁延性肝炎不可归类在他处者	K73.000	{"dummy_term": ["慢性", "迁延", "性肝炎", "不可", "归类", "在", "他", "处", "者"]}
踝部胫后肌腱损伤	S96.800x001	{"1_region_term": ["踝", "胫后肌", "腱"], "dummy_term": ["部"], "3_disease_term": ["损伤"]}
子宫横隔	Q51.800x011	{"1_region_term": ["子宫"], "dummy_term": ["横隔"]}
卡氏肺孢子菌肺炎	B59.x00x002+J17.3*	{"1_region_term": ["肺"], "dummy_term": ["卡", "氏", "孢子", "菌", "肺炎"]}
促结缔组织增生性小圆细胞瘤	M88060/3	{"dummy_term": ["促", "结缔组织", "增生", "性", "圆", "细胞"], "5_others_term": ["小"], "3_disease_term": ["瘤"]}
肾透析的血管通路血栓形成	T82.400x004	{"1_region_term": ["血管"], "dummy_term": ["的", "通路", "形成"], "5_others_term": ["肾透析"], "3_disease_term": ["血栓"]}
输尿管术后	Z98.800x201	{"1_region_term": ["输尿管"], "3_disease_term": ["术后"]}
乳突切除术后空腔的复发性胆脂瘤	H95.000	{"1_region_term": ["乳突"], "dummy_term": ["空腔", "的", "胆脂瘤"], "5_others_term": ["切除术后", "复发性"]}
耳郭血肿	S00.402	{"dummy_term": ["耳郭"], "3_disease_term": ["血肿"]}
与有害事件有关的胃肠病学和泌尿科手术器械材料和装置包括缝线	Y73.300	{"dummy_term": ["与", "有害", "事件", "有关", "的", "胃肠病", "学", "和", "泌尿科", "手术器械", "材料", "和", "装置", "包括"], "5_others_term": ["缝线"]}
大脑隐球菌病	B45.100	{"1_region_term": ["大脑"], "dummy_term": ["隐", "球菌", "病"]}
常染色体大部分三体性	Q92.200	{"dummy_term": ["常", "染色体", "大部分", "三", "体性"]}
新生儿胃肠道出血其他的	P54.300	{"dummy_term": ["新生儿", "胃肠道", "出", "血", "其他", "的"]}
血中酒精水平在200~239mg100ml	Y90.700	{"dummy_term": ["血", "水平", "在", "200", "~", "239mg100ml"], "5_others_term": ["中", "酒精"]}
下腔静脉损伤	S35.100	{"1_region_term": ["下腔静脉"], "3_disease_term": ["损伤"]}
脑损害和功能障碍及躯体疾病引起的其他特指的精神障碍	F06.800	{"1_region_term": ["脑"], "dummy_term": ["损害", "和", "功能障碍", "及", "躯体", "疾病", "引起", "的", "其他", "特指", "的", "精神障碍"]}
肠道真菌感染	B49.x16	{"dummy_term": ["肠道", "真菌", "感染"]}
子宫内膜原位癌	D07.000	{"1_region_term": ["子宫内膜"], "dummy_term": ["原位癌"]}
下肢冻伤后遗症	T95.300x002	{"1_region_term": ["下肢"], "dummy_term": ["冻伤", "后遗症"]}
琥珀酰亚胺和恶唑烷二酮类中毒	T42.200	{"dummy_term": ["琥珀", "酰亚胺", "和", "恶", "唑", "烷", "二", "酮类", "中毒"]}
摄入食物中其他特指有害物质的毒性效应	T62.800	{"dummy_term": ["摄入", "食物", "其他", "特指", "有害物质", "的", "毒性", "效应"], "5_others_term": ["中"]}
用尖锐物体进行加害	X99.x00	{"dummy_term": ["用", "尖锐", "物体", "进行", "加害"]}
二尖瓣主动脉瓣及三尖瓣狭窄关闭不全	I08.304	{"1_region_term": ["二尖瓣", "主动脉瓣", "三尖瓣"], "dummy_term": ["及", "关闭不全"], "3_disease_term": ["狭窄"]}
类马方综合征	Q87.805	{"dummy_term": ["类", "马", "方", "综合征"]}
肩和上臂神经损伤	S44.900x001	{"1_region_term": ["肩", "上臂", "神经"], "dummy_term": ["和"], "3_disease_term": ["损伤"]}
包皮良性肿瘤	D29.700x005	{"dummy_term": ["良性肿瘤"], "3_disease_term": ["包皮"]}
腹强直	R19.300	{"1_region_term": ["腹"], "dummy_term": ["强直"]}
肌肉的消瘦和萎缩不可归类在他处者	M62.500	{"1_region_term": ["肌肉"], "dummy_term": ["的", "消瘦", "和", "不可", "归类", "在", "他", "处", "者"], "3_disease_term": ["萎缩"]}
不动杆菌属性败血症	A41.506	{"dummy_term": ["不", "动", "杆菌", "属性", "败血症"]}
下肢长骨恶性肿瘤	C40.200	{"1_region_term": ["下肢"], "dummy_term": ["长骨", "恶性肿瘤"]}
胎儿和新生儿受产程和分娩的其他特指并发症的影响	P03.800	{"dummy_term": ["和", "新生儿", "受", "产程", "和", "分娩", "的", "其他", "特指", "并发症", "的", "影响"], "5_others_term": ["胎儿"]}
输卵管憩室	N83.800x016	{"1_region_term": ["输卵管"], "dummy_term": ["憩", "室"]}
肠的其他嵌塞	K56.400	{"1_region_term": ["肠"], "dummy_term": ["的", "其他", "嵌", "塞"]}
妊娠合并双角子宫	O34.002	{"1_region_term": ["子宫"], "dummy_term": ["妊娠", "合", "并", "双角"]}
营养缺乏	E63.900	{"dummy_term": ["缺乏"], "2_operation_term": ["营养"]}
肘关节粘连性滑囊炎	M71.501	{"1_region_term": ["肘关节", "滑囊"], "dummy_term": ["性", "炎"], "3_disease_term": ["粘连"]}
筛窦脑膜瘤	D32.000x020	{"1_region_term": ["筛窦"], "dummy_term": ["脑膜瘤"]}
静脉曲张合并溃疡	I83.000x003	{"dummy_term": ["合", "并", "溃疡"], "3_disease_term": ["静脉曲张"]}
脑血管造影后脑血管痉挛	G97.802	{"1_region_term": ["脑血管", "脑血管"], "dummy_term": ["后", "痉挛"], "2_operation_term": ["造影"]}
岩尖综合征	H66.001	{"1_region_term": ["岩尖"], "dummy_term": ["综合征"]}
胃血管扩张	I86.400x002	{"1_region_term": ["胃", "血管"], "3_disease_term": ["扩张"]}
腹部恶性肿瘤	C76.200	{"1_region_term": ["腹部"], "dummy_term": ["恶性肿瘤"]}
先天性上肢生长不对称	Q74.800x402	{"1_region_term": ["上肢"], "dummy_term": ["先天性", "生长", "不", "对称"]}
肝间皮瘤	C45.704	{"1_region_term": ["肝"], "dummy_term": ["间皮瘤"]}
泪道的其他改变	H04.600	{"1_region_term": ["泪道"], "dummy_term": ["的", "其他", "改变"]}
由于禁忌证未进行免疫	Z28.000	{"dummy_term": ["由于", "禁忌证", "未", "进行", "免疫"]}
气管软骨断裂	S12.805	{"1_region_term": ["气管", "软骨"], "dummy_term": ["断裂"]}
播散性芽生菌病	B40.700	{"dummy_term": ["播散", "性", "芽", "生", "菌", "病"]}
亚急性创伤性硬脑膜下出血	S06.500x005	{"1_region_term": ["硬脑膜下"], "dummy_term": ["亚急性", "创伤性", "出", "血"]}
口的其他和未特指部位交搭跨越恶性肿瘤的损害	C06.800	{"dummy_term": ["口", "的", "其他", "和", "未", "特指", "部位", "交", "搭", "跨越", "恶性肿瘤", "的", "损害"]}
急性重症庚型肝炎	B17.807	{"dummy_term": ["急性", "重症", "庚", "型", "肝炎"]}
葡萄球菌性脑膜炎	G00.300	{"dummy_term": ["葡萄球菌", "性", "脑膜炎"]}
砷化物中毒	T57.001	{"dummy_term": ["砷化物", "中毒"]}
关节内固定术后疼痛	T84.800x007	{"1_region_term": ["关节"], "dummy_term": ["后", "疼痛"], "2_operation_term": ["内固定术"]}
猪布氏菌病	A23.200	{"dummy_term": ["猪", "布", "氏", "菌", "病"]}
腰部脊髓震荡	S34.000x002	{"1_region_term": ["脊髓"], "dummy_term": ["腰部", "震荡"]}
宫颈血管瘤	D18.000x856	{"1_region_term": ["宫颈"], "dummy_term": ["血管瘤"]}
肩胛带其他和未特指部位的脱位	S43.300	{"1_region_term": ["肩胛带"], "dummy_term": ["其他", "和", "未", "特指", "部位", "的"], "3_disease_term": ["脱位"]}
虹膜囊肿	H21.301	{"1_region_term": ["虹膜"], "3_disease_term": ["囊肿"]}
肛门二度烧伤	T21.200x091	{"1_region_term": ["肛门"], "dummy_term": ["二度", "烧伤"]}
避孕装置的再次指导	Z30.400x004	{"dummy_term": ["的", "再次", "指导"], "4_implant_term": ["避孕装置"]}
背部感染性窦道	L08.804	{"1_region_term": ["背部"], "dummy_term": ["感染性"], "3_disease_term": ["窦道"]}
流行性乙型脑炎重型	A83.000x004	{"dummy_term": ["流行性", "乙型", "脑炎", "重型"]}
供骨者	Z52.200	{"1_region_term": ["骨"], "dummy_term": ["供", "者"]}
急性化脓性阑尾炎伴穿孔伴弥漫性腹膜炎	K35.000x009	{"dummy_term": ["急性", "化脓性", "阑尾炎", "伴", "伴", "弥漫性", "腹膜炎"], "3_disease_term": ["穿孔"]}
男性生殖器瘢痕	L90.500x071	{"dummy_term": ["生殖器"], "5_others_term": ["男性"], "3_disease_term": ["瘢痕"]}
子宫侧倾	N85.401	{"1_region_term": ["子宫"], "dummy_term": ["侧", "倾"]}
皮肌炎其他的	M33.100	{"dummy_term": ["皮肌炎", "其他", "的"]}
肛门一度烧伤	T21.100x091	{"1_region_term": ["肛门"], "dummy_term": ["一度", "烧伤"]}
颈肋	Q76.500	{"1_region_term": ["颈肋"]}
创伤性鼻中隔血肿	S09.801	{"1_region_term": ["鼻中隔"], "dummy_term": ["创伤性"], "3_disease_term": ["血肿"]}
颈椎间盘突出伴脊髓病	M50.001+G99.2*	{"1_region_term": ["颈椎间盘", "脊髓"], "dummy_term": ["突出", "伴", "病"]}
鼻腔淋巴瘤	C85.900x002	{"1_region_term": ["鼻腔"], "dummy_term": ["淋巴瘤"]}
慢波睡眠中持续棘慢复合波癫痫	G41.801	{"dummy_term": ["慢", "波", "睡眠", "持续", "棘", "慢", "复合", "波", "癫痫"], "5_others_term": ["中"]}
