链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
新生儿中毒性脑病	P91.802	{"dummy_term": ["新生儿", "中毒", "性", "脑病"]}
多个部位腐蚀伤，述及的腐蚀伤至少有一处三度腐蚀伤	T29.700	{"dummy_term": ["多", "个", "部位", "腐蚀", "伤", ",", "述及", "的", "腐蚀", "伤", "至少", "有", "一处", "三度", "腐蚀", "伤"]}
颈椎椎管狭窄	M48.002	{"1_region_term": ["颈椎", "椎管"], "3_disease_term": ["狭窄"]}
前臂部位的开放性伤口	S51.900	{"1_region_term": ["前臂"], "dummy_term": ["部位", "的"], "3_disease_term": ["开放性", "伤口"]}
脊髓先天性畸形	Q06.900	{"1_region_term": ["脊髓"], "dummy_term": ["先天性"], "3_disease_term": ["畸形"]}
支气管扩张伴咯血	J47.x01	{"1_region_term": ["支气管"], "dummy_term": ["伴", "咯血"], "3_disease_term": ["扩张"]}
未特指的医疗照顾	Z51.9	{"dummy_term": ["未", "特指", "的", "医疗", "照顾"]}
臀上皮神经卡压综合征	G57.002	{"1_region_term": ["皮神经"], "dummy_term": ["臀", "上", "卡压", "综合征"]}
混合性焦虑障碍，其他的	F41.300	{"dummy_term": ["混合性", "焦虑", "障碍", ",", "其他", "的"]}
间质性纤维化性肺泡炎	J84.105	{"dummy_term": ["间质性", "纤维化", "性", "肺泡", "炎"]}
分类于他处的传染病和寄生虫病引起的脉络膜视网膜炎症	H32.0*	{"1_region_term": ["脉络膜", "视网膜"], "dummy_term": ["分类", "于", "他", "处", "的", "传染病", "和", "寄生虫病", "引起", "的", "炎症"]}
先天性小肠血管畸形	Q27.809	{"1_region_term": ["小肠"], "dummy_term": ["先天性"], "3_disease_term": ["血管畸形"]}
有关神经系统和特种感觉的其他装置的安装和调整	Z46.200	{"dummy_term": ["有关", "和", "特种", "感觉", "的", "其他", "装置", "的", "和", "调整"], "2_operation_term": ["安装"], "5_others_term": ["神经系统"]}
妊娠合并子宫后倾	O34.501	{"1_region_term": ["子宫"], "dummy_term": ["妊娠", "合", "并", "后", "倾"]}
未特指部位的肠病毒感染	B34.1	{"dummy_term": ["未", "特指", "部位", "的", "肠病毒", "感染"]}
喷嚏	R06.700	{"dummy_term": ["喷嚏"]}
其他蜱媒介的病毒性脑炎	A84.8	{"dummy_term": ["其他", "蜱", "媒介", "的"], "3_disease_term": ["病毒性脑炎"]}
黄韧带肥厚	M24.204	{"1_region_term": ["黄韧带"], "dummy_term": ["肥厚"]}
男性生殖器官标本的异常的组织学所见	R86.700	{"dummy_term": ["生殖器官", "标本", "的", "异常", "的", "组织学", "所", "见"], "5_others_term": ["男性"]}
精囊囊肿	N50.815	{"1_region_term": ["精囊"], "3_disease_term": ["囊肿"]}
未特指疫苗类或生物制品的有害效应	Y59.9	{"dummy_term": ["未", "特指", "疫苗", "类", "或", "生物制品", "的", "有害", "效应"]}
慢性查加斯病累及神经系统	B57.400	{"dummy_term": ["慢性", "查", "加斯", "病", "累及"], "5_others_term": ["神经系统"]}
胆总管空肠吻合口狭窄	K91.806	{"1_region_term": ["胆总管", "空肠"], "dummy_term": ["吻合", "口"], "3_disease_term": ["狭窄"]}
原田病	H30.801	{"dummy_term": ["原田", "病"]}
咽部结核，细菌学（+）	A15.811	{"1_region_term": ["咽部"], "dummy_term": ["结核", ",", "细菌学", "(", "+", ")"]}
外阴瘢痕	N90.802	{"1_region_term": ["外阴"], "3_disease_term": ["瘢痕"]}
二尖瓣关闭不全伴主动脉瓣狭窄关闭不全	I08.003	{"1_region_term": ["二尖瓣", "主动脉瓣"], "dummy_term": ["关闭不全", "伴", "关闭不全"], "3_disease_term": ["狭窄"]}
进食障碍，其他的	F50.800	{"dummy_term": ["进食", "障碍", ",", "其他", "的"]}
子痫	O15.900	{"dummy_term": ["子痫"]}
创伤性口腔粘膜溃疡	K12.101	{"dummy_term": ["创伤性", "口腔粘膜", "溃疡"]}
海产品的毒性效应 	T61.900	{"dummy_term": ["海产品", "的", "毒性", "效应"]}
未特指的肺源性心脏病	I27.9	{"1_region_term": ["肺"], "dummy_term": ["未", "特指", "的", "源", "性", "心脏病"]}
韦格纳肉芽肿病	M31.300	{"dummy_term": ["韦格纳", "病"], "3_disease_term": ["肉芽肿"]}
口腔粘膜嗜酸性肉芽肿	K13.402	{"dummy_term": ["口腔粘膜", "嗜", "酸性"], "3_disease_term": ["肉芽肿"]}
产伤引起的硬膜下出血	P10.000	{"dummy_term": ["产", "伤", "引起", "的", "硬", "膜", "下", "出", "血"]}
细小病毒感染 	B34.300	{"dummy_term": ["细小", "病毒感染"]}
结肠黑变病	K63.812	{"1_region_term": ["结肠"], "dummy_term": ["黑", "变", "病"]}
趾蜂窝织炎	L03.001	{"1_region_term": ["趾"], "dummy_term": ["蜂窝", "织", "炎"]}
急性气管炎	J04.100	{"dummy_term": ["急性", "气管炎"]}
暴露于其他人为环境因素下	W99.x00	{"dummy_term": ["暴露", "于", "其他人", "为", "环境因素", "下"]}
小肠先天性缺如、闭锁和狭窄	Q41	{"1_region_term": ["小肠"], "dummy_term": ["先天性", "缺如", ",", "和"], "3_disease_term": ["闭锁", "狭窄"]}
结核性葡萄膜炎	A18.505†H22.0*	{"dummy_term": ["结核性", "葡萄膜", "炎"]}
随诊检查,其他的情况的其他治疗后的	Z09.800	{"dummy_term": ["随", "诊", "其他", "的", "情况", "的", "其他", "后", "的"], "2_operation_term": ["检查", "治疗"]}
阑尾闭锁	Q42.801	{"1_region_term": ["阑尾"], "3_disease_term": ["闭锁"]}
恶心和呕吐	R11.x00	{"dummy_term": ["恶心", "和", "呕吐"]}
下泌尿道结石，其他的	N21.800	{"dummy_term": ["下", "泌尿道", ",", "其他", "的"], "3_disease_term": ["结石"]}
腹股沟恶性肿瘤	C76.304	{"1_region_term": ["腹股沟"], "dummy_term": ["恶性肿瘤"]}
运输事故的后遗症	Y85	{"dummy_term": ["运输", "事故", "的", "后遗症"]}
非传染性新生儿腹泻	P78.300	{"dummy_term": ["非", "传染性", "新生儿"], "3_disease_term": ["腹泻"]}
为盆腔器官未特指的异常给予的孕产妇医疗	O34.9	{"1_region_term": ["盆腔"], "dummy_term": ["为", "器官", "未", "特指", "的", "异常", "给予", "的", "孕产妇", "医疗"]}
继发性单侧膝关节病	M17.501	{"1_region_term": ["膝关节"], "dummy_term": ["继发性", "病"], "5_others_term": ["单侧"]}
正常钾型周期性麻痹	G72.304	{"dummy_term": ["正常", "钾", "型", "周期性", "麻痹"]}
新生儿水肿	P83.301	{"dummy_term": ["新生儿"], "3_disease_term": ["水肿"]}
急性自身免疫性胰腺炎，轻症	K85.809	{"dummy_term": ["急性", "自身", "免疫性", "胰腺炎", ",", "轻", "症"]}
鼻咽结核，细菌学（+）	A15.805	{"1_region_term": ["鼻咽"], "dummy_term": ["结核", ",", "细菌学", "(", "+", ")"]}
其他表皮肥厚	L85	{"dummy_term": ["其他", "表皮", "肥厚"]}
腹膜后淋巴结结核	A18.310	{"1_region_term": ["腹膜后淋巴结"], "dummy_term": ["结核"]}
先天性输尿管积水	Q62.301	{"1_region_term": ["输尿管"], "dummy_term": ["先天性", "积水"]}
交通事故中小汽车与其他机动车辆碰撞造成小汽车乘客的损伤	V49.500	{"dummy_term": ["交通事故", "中小", "汽车", "与", "其他", "机动车辆", "碰撞", "造成", "小汽车", "乘客", "的"], "3_disease_term": ["损伤"]}
不完全性自然流产并发盆腔感染	O03.001	{"1_region_term": ["盆腔"], "dummy_term": ["不完全性", "自然", "流产", "并发", "感染"]}
肩结缔组织肿瘤	D48.114	{"1_region_term": ["肩"], "dummy_term": ["结缔组织", "肿瘤"]}
分类于他处的传染病和寄生虫病引起的肾小球疾患	N08.0*	{"dummy_term": ["分类", "于", "他", "处", "的", "传染病", "和", "寄生虫病", "引起", "的", "肾小球", "疾患"]}
二度房室传导阻滞	I44.100	{"dummy_term": ["二度", "房室", "传导", "阻滞"]}
原发性阅读性癫痫	G40.803	{"dummy_term": ["原发性", "阅读", "性", "癫痫"]}
肠道钩虫病	B76.902	{"dummy_term": ["肠道", "钩虫病"]}
电光性眼炎	H16.101	{"dummy_term": ["电光", "性", "眼炎"]}
听神经损伤	S04.600	{"1_region_term": ["听神经"], "3_disease_term": ["损伤"]}
法特壶腹部不典型增生	K83.803	{"1_region_term": ["法特壶腹"], "dummy_term": ["部", "不", "典型", "增生"]}
肩胛带其他部位的扭伤和劳损	S43.700	{"1_region_term": ["肩胛带"], "dummy_term": ["其他", "部位", "的", "扭伤", "和", "劳损"]}
肛管恶性肿瘤	C21.100	{"1_region_term": ["肛管"], "dummy_term": ["恶性肿瘤"]}
难治性癫痫	G40.902	{"dummy_term": ["难治性", "癫痫"]}
灾难性暴风雨受害者	X37.x00	{"dummy_term": ["灾难性", "暴风雨", "受害者"]}
念珠菌性趾甲炎	B37.202	{"dummy_term": ["念珠菌性", "趾甲", "炎"]}
垂体结核	A18.801†E35.8*	{"1_region_term": ["垂体"], "dummy_term": ["结核"]}
心内血栓形成,不可归类在他处者	I51.3	{"dummy_term": ["心内", "形成", "不可", "归类", "在", "他", "处", "者"], "3_disease_term": ["血栓"]}
青霉病	B48.400	{"dummy_term": ["青霉", "病"]}
椎管内良性肿瘤	D33.902	{"1_region_term": ["椎管内"], "dummy_term": ["良性肿瘤"]}
阿洪病	L94.600	{"dummy_term": ["阿", "洪", "病"]}
周围血管疾病，其他特指的	I73.800	{"1_region_term": ["周围血管"], "dummy_term": ["疾病", ",", "其他", "特指", "的"]}
周围血管扩张剂的有害效应	Y52.700	{"1_region_term": ["周围血管"], "dummy_term": ["扩张剂", "的", "有害", "效应"]}
与吸烟有关	Z72.0	{"dummy_term": ["与", "吸烟", "有关"]}
具有心脏和血管植入物和移植物	Z95.900	{"1_region_term": ["心脏", "血管"], "dummy_term": ["具有", "和", "和"], "2_operation_term": ["移植物"], "4_implant_term": ["植入物"]}
肺中叶恶性肿瘤	C34.201	{"1_region_term": ["肺"], "dummy_term": ["中叶", "恶性肿瘤"]}
其他肌肉骨骼疾患引起的多神经病(M00-M25+,M40-M96+）	G63.6*	{"1_region_term": ["肌肉"], "dummy_term": ["其他", "骨骼", "疾患", "引起", "的", "多", "神经病", "(", "M00", "-", "M25", "+", "M40", "-", "M96", "+", ")"]}
结节病引起的多发性脑神经麻痹	G53.2*	{"1_region_term": ["脑神经"], "dummy_term": ["结节病", "引起", "的", "多发性", "麻痹"]}
其他和未特指细菌疫苗类的有害效应	Y58.9	{"dummy_term": ["其他", "和", "未", "特指", "细菌", "疫苗", "类", "的", "有害", "效应"]}
后天性脊柱关节强硬	M43.203	{"1_region_term": ["脊柱关节"], "dummy_term": ["后天性", "强硬"]}
冠状病毒作为分类于其他章疾病的原因	B97.200	{"dummy_term": ["冠状病毒", "作为", "分类", "于", "其他", "章", "疾病", "的", "原因"]}
寄生虫病	B89.x00	{"dummy_term": ["寄生虫病"]}
无月经、月经过少和月经稀少	N91	{"dummy_term": ["无", "月经", ",", "月", "经过", "少", "和", "月经", "稀少"]}
非化脓性脑膜炎	G03.000	{"dummy_term": ["非", "化脓性", "脑膜炎"]}
功能性遗粪症	F98.101	{"dummy_term": ["遗", "粪", "症"], "5_others_term": ["功能性"]}
睑缘炎	H01.000	{"dummy_term": ["睑缘炎"]}
先天性尾骨畸形	Q76.419	{"1_region_term": ["尾骨"], "dummy_term": ["先天性"], "3_disease_term": ["畸形"]}
吡唑啉酮衍生物中毒	T39.200	{"dummy_term": ["吡唑", "啉", "酮", "衍生物", "中毒"]}
维生素A缺乏病伴有夜盲症	E50.500	{"dummy_term": ["维生素", "A", "缺乏", "病", "伴有", "夜盲症"]}
弗氏志贺菌引起的细菌性痢疾	A03.100	{"dummy_term": ["弗", "氏", "志", "贺", "菌", "引起", "的", "细菌性痢疾"]}
硬腭裂伴单侧唇裂	Q37.1	{"dummy_term": ["硬", "腭裂", "伴", "唇裂"], "5_others_term": ["单侧"]}
膈结缔组织良性肿瘤	D21.302	{"1_region_term": ["膈"], "dummy_term": ["结缔组织", "良性肿瘤"]}
胆管消失综合征	K83.815	{"1_region_term": ["胆管"], "dummy_term": ["消失", "综合征"]}
血友病家族史	Z83.201	{"dummy_term": ["血友病", "家族史"]}
阑尾继发恶性肿瘤	C78.503	{"1_region_term": ["阑尾"], "dummy_term": ["继发", "恶性肿瘤"]}
流产后心脏停搏	O08.805	{"1_region_term": ["心脏"], "dummy_term": ["停", "搏"], "5_others_term": ["流产后"]}
恶性肿瘤靶向治疗	Z51.801	{"dummy_term": ["恶性肿瘤", "靶向"], "2_operation_term": ["治疗"]}
与感觉成为不良歧视和迫害的目标有关	Z60.5	{"dummy_term": ["与", "感觉", "成为", "不良", "歧视", "和", "迫害", "的", "目标", "有关"]}
头部痈	L02.804	{"1_region_term": ["头部"], "dummy_term": ["痈"]}
未特指的心肌炎	I51.4	{"dummy_term": ["未", "特指", "的", "心肌炎"]}
操作后盆腔腹膜粘连	N99.400	{"1_region_term": ["盆腔腹膜"], "dummy_term": ["后"], "5_others_term": ["操作"], "3_disease_term": ["粘连"]}
交通事故中公共汽车与其他机动车辆碰撞造成公共汽车乘客的损伤	V79.500	{"dummy_term": ["交通事故", "公共汽车", "与", "其他", "机动车辆", "碰撞", "造成", "公共汽车", "乘客", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
头和颈腐蚀伤	T20.400	{"1_region_term": ["颈"], "dummy_term": ["头", "和", "腐蚀", "伤"]}
急性单核细胞白血病	C93.000	{"dummy_term": ["急性", "单核细胞", "白血病"]}
糖尿病伴有多个并发症,   其他特指的	E13.700	{"dummy_term": ["糖尿病", "伴有", "多", "个", "并发症", "其他", "特指", "的"]}
器官、系统和组织标本的激素水平异常，其他的	R89.100	{"dummy_term": ["器官", ",", "系统", "和", "标本", "的", "激素水平", "异常", ",", "其他", "的"], "5_others_term": ["组织"]}
尿毒症性肺病	N18.805†J99.8*	{"dummy_term": ["尿毒症", "性", "肺病"]}
上下颌前突畸形	K07.105	{"dummy_term": ["上", "下颌前突"], "3_disease_term": ["畸形"]}
先天性前额畸形	Q75.806	{"dummy_term": ["先天性", "前额"], "3_disease_term": ["畸形"]}
甲型肝炎，不伴有肝昏迷	B15.900	{"1_region_term": ["肝"], "dummy_term": ["甲型肝炎", ",", "不", "伴有", "昏迷"]}
具有眼镜和接触镜	Z97.300	{"dummy_term": ["具有", "眼镜", "和", "接触", "镜"]}
人类免疫缺陷病毒[HIV]病造成的其他传染病和寄生虫病	B20.800	{"dummy_term": ["人类", "免疫", "缺陷", "病毒", "[", "HIV", "]", "病", "造成", "的", "其他", "传染病", "和", "寄生虫病"]}
眼眶骨髓炎	H05.003	{"1_region_term": ["眼眶"], "dummy_term": ["骨髓炎"]}
脊髓栓塞	G95.108	{"1_region_term": ["脊髓"], "dummy_term": ["栓塞"]}
新生儿呼吸窘迫综合征	P22.000	{"dummy_term": ["新生儿", "窘迫", "综合征"], "5_others_term": ["呼吸"]}
在手术中缝合或结扎不当	Y65.200	{"dummy_term": ["在手", "缝合", "或", "不当"], "2_operation_term": ["结扎"], "3_disease_term": ["术中"]}
急性蝶窦炎	J01.300	{"1_region_term": ["蝶窦"], "dummy_term": ["急性", "炎"]}
酒精性神经系统变性	G31.200	{"dummy_term": ["变性"], "5_others_term": ["酒精性", "神经系统"]}
其他营养缺乏	E63	{"dummy_term": ["其他", "缺乏"], "2_operation_term": ["营养"]}
脑腱胆固醇沉着病	E75.504	{"1_region_term": ["脑", "腱"], "dummy_term": ["胆固醇", "沉着", "病"]}
疱疹样天疱疮	L10.801	{"dummy_term": ["疱疹", "样", "天疱疮"]}
先天性锤状趾	Q66.802	{"dummy_term": ["先天性"], "3_disease_term": ["锤状趾"]}
其他未特指部位的病毒性感染	B34.8	{"dummy_term": ["其他", "未", "特指", "部位", "的", "病毒性", "感染"]}
其他特指的与女性生殖器官和月经周期有关的情况	N94.8	{"dummy_term": ["其他", "特指", "的", "与", "生殖器官", "和", "月经周期", "有关", "的", "情况"], "5_others_term": ["女性"]}
上肢动脉血栓形成	I74.202	{"1_region_term": ["上肢动脉"], "dummy_term": ["形成"], "3_disease_term": ["血栓"]}
类风湿性关节炎伴心肌炎	M05.306†I41.8*	{"dummy_term": ["类", "风湿性关节炎", "伴", "心肌炎"]}
福克斯-福代斯病	L75.201	{"dummy_term": ["福克斯", "-", "福", "代", "斯", "病"]}
未特指的三轮机动车乘员在三轮机动车与脚踏车碰撞交通事故中的损伤	V31.9	{"dummy_term": ["未", "特指", "的", "三轮", "机动车", "乘员", "在", "三轮", "机动车", "与", "脚踏车", "碰撞", "交通事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
通过自然腔口进入的异物效应的后遗症	T98.000	{"dummy_term": ["通过", "自然", "腔", "口", "进入", "的", "效应", "的", "后遗症"], "5_others_term": ["异物"]}
上肢损伤的后遗症	T92.900	{"1_region_term": ["上肢"], "dummy_term": ["的", "后遗症"], "3_disease_term": ["损伤"]}
未特指的肾发育不全	Q60.5	{"1_region_term": ["肾"], "dummy_term": ["未", "特指", "的", "发育不全"]}
妊娠合并地中海贫血	O99.004	{"dummy_term": ["妊娠", "合", "并", "地中海", "贫血"]}
产褥期子宫内膜炎	O85.x03	{"1_region_term": ["子宫内膜"], "dummy_term": ["产褥期", "炎"]}
在大腿水平的其他的肌肉和肌腱损伤	S76.400	{"1_region_term": ["大腿", "肌肉", "肌腱"], "dummy_term": ["在", "水平", "的", "其他", "的", "和"], "3_disease_term": ["损伤"]}
唇原位癌	D00.002	{"1_region_term": ["唇"], "dummy_term": ["原位癌"]}
单侧感音神经性听觉丧失，对侧听觉不受限制	H90.400	{"1_region_term": ["神经性"], "dummy_term": ["感", "音", "听觉", "丧失", ",", "对", "侧", "听觉", "不", "受限制"], "5_others_term": ["单侧"]}
下肢化脓性浅表血栓静脉炎	I80.002	{"1_region_term": ["下肢"], "dummy_term": ["化脓性", "浅表", "静脉炎"], "3_disease_term": ["血栓"]}
小汽车和重型运输车之间碰撞造成的人员损伤，非交通性	V88.400	{"dummy_term": ["小汽车", "和", "重型", "运输车", "之间", "碰撞", "造成", "的", "人员", ",", "非", "交通", "性"], "3_disease_term": ["损伤"]}
内翻变形，不可归类在他处者	M21.100	{"dummy_term": ["变形", ",", "不可", "归类", "在", "他", "处", "者"], "3_disease_term": ["内翻"]}
其他库欣综合征	E24.8	{"dummy_term": ["其他", "库", "欣", "综合征"]}
脑膜炎，其他特指原因引起的	G03.800	{"dummy_term": ["脑膜炎", ",", "其他", "特指", "原因", "引起", "的"]}
乳突恶性肿瘤	C30.102	{"1_region_term": ["乳突"], "dummy_term": ["恶性肿瘤"]}
小肠动态未定或动态未知的肿瘤	D37.200	{"1_region_term": ["小肠"], "dummy_term": ["动态", "未定", "或", "动态", "未知", "的", "肿瘤"]}
头颈部骨肿物	M89.916	{"1_region_term": ["骨"], "dummy_term": ["头颈部", "肿物"]}
继发性外斜视	H50.105	{"dummy_term": ["继发性", "外", "斜视"]}
超轻型、轻型或动力滑翔机事故伤及乘员	V95.100	{"dummy_term": ["超轻型", ",", "轻型", "或", "动力", "滑翔机", "事故", "伤及", "乘员"]}
腹腔动脉瘤破裂	I72.815	{"1_region_term": ["腹腔动脉"], "3_disease_term": ["瘤破裂"]}
膀胱输精管阴囊瘘	N50.801	{"1_region_term": ["膀胱", "输精管", "阴囊"], "3_disease_term": ["瘘"]}
肾和肾周脓肿	N15.100	{"1_region_term": ["肾", "肾周"], "dummy_term": ["和"], "3_disease_term": ["脓肿"]}
淋巴样白血病	C91.900	{"1_region_term": ["淋巴"], "dummy_term": ["样", "白血病"]}
雷特综合征	F84.200	{"dummy_term": ["雷", "特", "综合征"]}
慢性肾炎综合征,密集沉积物病	N03.6	{"dummy_term": ["慢性肾炎", "综合征", "密集", "沉积物", "病"]}
胆囊绞痛	K80.202	{"1_region_term": ["胆囊"], "dummy_term": ["绞痛"]}
腹膜后和腹膜继发性恶性肿瘤	C78.600	{"1_region_term": ["腹膜后", "腹膜"], "dummy_term": ["和", "继发性", "恶性肿瘤"]}
外耳道恶性黑色素瘤	C43.201	{"1_region_term": ["外耳道"], "dummy_term": ["恶性", "黑色素瘤"]}
其他特指的真菌病	B48.8	{"dummy_term": ["其他", "特指", "的", "真菌病"]}
使用阿片类物质引起的依赖综合征	F11.200	{"dummy_term": ["使用", "阿片类", "物质", "引起", "的", "依赖", "综合征"]}
未特指的副银屑病	L41.9	{"dummy_term": ["未", "特指", "的", "副", "银屑病"]}
帽状腱膜下脓肿	L02.802	{"1_region_term": ["腱膜"], "dummy_term": ["帽", "状", "下"], "3_disease_term": ["脓肿"]}
慢性中性粒细胞白血病	C92.105	{"dummy_term": ["慢性", "粒细胞", "白血病"], "5_others_term": ["中性"]}
安装义眼	Z44.201	{"2_operation_term": ["安装"], "4_implant_term": ["义眼"]}
麻醉品和致幻药[致幻剂]中毒	T40	{"dummy_term": ["麻醉品", "和", "致", "幻", "药", "[", "致幻剂", "]", "中毒"]}
新生儿泪囊炎	P39.101	{"1_region_term": ["泪囊"], "dummy_term": ["新生儿", "炎"]}
凶暴	R45.600	{"dummy_term": ["凶暴"]}
肾盂积水伴有输尿管狭窄，不可归类在他处者	N13.100	{"1_region_term": ["肾盂", "输尿管"], "dummy_term": ["积水", "伴有", ",", "不可", "归类", "在", "他", "处", "者"], "3_disease_term": ["狭窄"]}
非毒性多结节性甲状腺肿	E04.200	{"dummy_term": ["非", "毒性", "多", "结节性", "甲状腺肿"]}
Ⅱ度一型房室传导阻滞	I44.101	{"dummy_term": ["Ⅱ", "度", "一", "型", "房室", "传导", "阻滞"]}
腹茧症	K66.804	{"1_region_term": ["腹"], "dummy_term": ["茧", "症"]}
膈疝，伴有坏疽	K44.100	{"1_region_term": ["膈"], "dummy_term": [",", "伴有", "坏疽"], "3_disease_term": ["疝"]}
新生儿泌尿道感染	P39.300	{"dummy_term": ["新生儿", "泌尿道", "感染"]}
先天性碘缺乏综合征,混合型	E00.2	{"dummy_term": ["先天性", "碘", "缺乏", "综合征", "混合型"]}
急性肾小球肾炎	N00.902	{"dummy_term": ["急性", "肾小球", "肾炎"]}
(头部)全秃	L63.0	{"1_region_term": ["头部"], "dummy_term": ["(", ")", "全", "秃"]}
颈静脉球动态未定肿瘤	D44.702	{"1_region_term": ["颈静脉"], "dummy_term": ["球", "动态", "未定", "肿瘤"]}
外生殖器的开放性伤口，其他的	S31.500	{"dummy_term": ["外生殖器", "的", ",", "其他", "的"], "3_disease_term": ["开放性", "伤口"]}
孤立性蛋白尿伴有特指的形态学损害,弥漫性新月形肾小球肾炎	N06.7	{"dummy_term": ["孤立", "性", "蛋白尿", "伴有", "特指", "的", "形态学", "损害", "弥漫性", "新月形", "肾小球", "肾炎"]}
为抗白喉-破伤风-百日咳伴有脊髓灰质炎采取必要的免疫[DTP+脊灰]	Z27.3	{"dummy_term": ["为", "抗", "白喉", "-", "破伤风", "-", "百日咳", "伴有", "脊髓灰质炎", "采取", "必要", "的", "免疫", "[", "DTP", "+", "脊", "灰", "]"]}
恐怖性焦虑障碍	F40.900	{"dummy_term": ["恐怖", "性焦虑", "障碍"]}
接触二氯油硝基苯	Z57.507	{"dummy_term": ["接触", "二氯", "油", "硝基苯"]}
稽留流产	O02.100	{"dummy_term": ["稽留", "流产"]}
乳牙滞留	K00.608	{"dummy_term": ["乳牙滞留"]}
其他需氧的革兰氏阴性细菌性肺炎	J15.6	{"dummy_term": ["其他", "需", "氧", "的", "革兰氏", "阴性", "细菌性", "肺炎"]}
新生儿血小板减少性紫癜	P61.001	{"dummy_term": ["新生儿", "减少", "性", "紫癜"], "5_others_term": ["血小板"]}
躯干淋巴管瘤	D18.103	{"1_region_term": ["躯干", "淋巴管"], "3_disease_term": ["瘤"]}
甲亢性周期性麻痹	G72.303	{"dummy_term": ["甲亢", "性", "周期性", "麻痹"]}
桡骨骨髓炎	M86.904	{"1_region_term": ["桡骨"], "dummy_term": ["骨髓炎"]}
分娩中不完性子宫破裂	O71.101	{"dummy_term": ["分娩", "不", "完", "性子宫"], "5_others_term": ["中"], "3_disease_term": ["破裂"]}
躯干一度腐蚀伤	T21.500	{"1_region_term": ["躯干"], "dummy_term": ["一度", "腐蚀", "伤"]}
儿童良性癫痫伴中央颞区棘波	G40.001	{"dummy_term": ["良性", "癫痫", "伴", "中央", "颞", "区", "棘", "波"], "5_others_term": ["儿童"]}
髂总动脉血栓形成	I74.502	{"1_region_term": ["髂总动脉"], "dummy_term": ["形成"], "3_disease_term": ["血栓"]}
腹腔囊肿	K66.807	{"1_region_term": ["腹腔"], "3_disease_term": ["囊肿"]}
与心理社会情况有关的其他特指问题	Z65.8	{"dummy_term": ["与", "社会", "情况", "有关", "的", "其他", "特指", "问题"], "5_others_term": ["心理"]}
变形骨盆引起的梗阻性分娩	O65.000	{"1_region_term": ["骨盆"], "dummy_term": ["变形", "引起", "的", "分娩"], "3_disease_term": ["梗阻性"]}
其他情况家族史	Z84	{"dummy_term": ["其他", "情况", "家族史"]}
非阿片样镇痛药、解热药和抗风湿药的中毒及暴露于该类药物,意图不确定,未特指场所	Y10.9	{"dummy_term": ["非", "阿片", "样", "镇痛药", ",", "解热", "药", "和", "抗风湿", "药", "的", "中毒", "及", "暴露", "于", "该", "类药物", "意图", "不", "确定", "未", "特指", "场所"]}
手术后盆腔脓肿	T81.409	{"1_region_term": ["盆腔"], "5_others_term": ["手术后"], "3_disease_term": ["脓肿"]}
砷及其化合物的毒性效应	T57.000	{"dummy_term": ["砷", "及其", "化合物", "的", "毒性", "效应"]}
用悬吊、绞勒和窒息方式故意自害	X70.x00	{"dummy_term": ["用", "悬吊", ",", "绞", "勒", "和", "窒息", "方式", "故意", "自", "害"]}
镇痛药物瘾	F19.201	{"dummy_term": ["镇痛药", "物", "瘾"]}
血中酒精水平在100-119mg／100ml	Y90.5	{"dummy_term": ["血", "水平", "在", "100", "-", "119mg", "／", "100ml"], "5_others_term": ["中", "酒精"]}
船舶事故引起的其他损伤	V91.x00	{"dummy_term": ["船舶", "事故", "引起", "的", "其他"], "3_disease_term": ["损伤"]}
肾炎综合征，其他的	N05.800	{"dummy_term": ["肾炎", "综合征", ",", "其他", "的"]}
股神经损害	G57.200	{"1_region_term": ["股神经"], "dummy_term": ["损害"]}
医疗性流产失败,伴有其他和未特指的并发症	O07.3	{"dummy_term": ["医疗", "性", "流产", "失败", "伴有", "其他", "和", "未", "特指", "的", "并发症"]}
并殖吸虫病	B66.400	{"dummy_term": ["并", "殖吸虫", "病"]}
颈部的局部肿胀、肿物和肿块	R22.100	{"1_region_term": ["颈部"], "dummy_term": ["的", "局部", "肿胀", ",", "肿物", "和", "肿块"]}
肩区坏死性筋膜炎	M72.601	{"1_region_term": ["肩", "筋膜"], "dummy_term": ["区", "坏死性", "炎"]}
未特指的慢性支气管炎	J42	{"dummy_term": ["未", "特指", "的", "慢性", "支气管炎"]}
卵巢良性肿瘤	D27.x00	{"1_region_term": ["卵巢"], "dummy_term": ["良性肿瘤"]}
肾盂积水伴有输尿管狭窄,不可归类在他处者	N13.1	{"1_region_term": ["肾盂", "输尿管"], "dummy_term": ["积水", "伴有", "不可", "归类", "在", "他", "处", "者"], "3_disease_term": ["狭窄"]}
脊椎关节强硬伴脊髓病	M47.104†G99.2*	{"1_region_term": ["脊椎", "关节", "脊髓"], "dummy_term": ["强硬", "伴", "病"]}
低位肛瘘	K60.302	{"1_region_term": ["肛瘘"], "dummy_term": ["低位"]}
产钳术，其他的	O81.300	{"dummy_term": ["产钳", "术", ",", "其他", "的"]}
